,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords,scores,idx
q48,Which would you rather be?,Normal,Weird,,,52464,N,,preference,2,0
q46,"Would you prefer good things happened, or interesting things?",Good,Interesting,,,52112,N,,preference,2,1
q39,Would you let your children under 13 watch movies with full nudity?,Yes,No,,,26933,O,,sex/intimacy,3,2
q35,"Regardless of future plans, what's more interesting to you right now?",Sex,Love,,,50384,N,,sex/intimacy,2,3
q33,Do you like kissing in public?,Yes,No,,,23004,O,,sex/intimacy,2,4
q28,Would you dump someone simply because they weren't good at sex?,Yes,No,,,30477,O,,sex/intimacy,2,5
q26,Have you ever owned sex toys?,Yes,No,,,25010,O,,sex/intimacy,1,6
q17,Would you date someone just for the sex?,Yes,No,,,38180,O,,sex/intimacy,2,7
q14,Is a guy who's slept with 100 girls a bad person?,Yes,No,,,31127,O,,sex/intimacy,2,8
q13,Is a girl who's slept with 100 guys a bad person?,Yes,No,,,32581,O,,sex/intimacy,2,9
q2,Breast implants?,more cool than pathetic,more pathetic than cool,,,24839,N,,sex/intimacy; preference; opinion,1,10
q496,"When a relationship ends, what's the best thing to do?",Try and be friends with your ex,Go your separate ways,,,23651,O,,sex/intimacy; opinion,3,11
q48947,Is intoxication ever an acceptable excuse for acting stupid?,Yes.,No.,,,27599,O,,opinion,3,12
q48557,Do you find arrogance to be a turn-on?,Yes.,No.,,,25764,O,,preference,1,13
q455,Would the world be a better place if people with low IQs were not allowed to reproduce?,Yes,No,,,35500,O,,politics,4,14
q44,Some religions are more correct than others.,True,False,,,29109,O,,religion/superstition,3,15
q42282,"Some friends invite you to go camping where there are no showers, no toilets, and no services.  The only luxuries would be those you could carry in a pack on your back. Do you go?",Yes.,No.,,,24690,O,,descriptive,3,16
q39185,Which is more offensive: book burning or flag burning?,book burning,flag burning,,,36598,N,,politics,3,17
q154,"In a certain light, wouldn't nuclear war be exciting?","Yes, it would.","No, it wouldn't.",,,50514,O,,opinion,2,18
q146,Choose the better romantic activity:,Kissing in Paris,"Kissing in a tent, in the woods",,,39103,N,,sex/intimacy; preference,2,19
q136,Would you get upset if your girlfriend/boyfriend flirted in front of you?,Yes,No,,,36168,O,,sex/intimacy; preference; descriptive,4,20
q134,Do you think women have an obligation to keep their legs shaved?,Yes,No,,,40673,O,,preference,2,21
q124,Do you work out a lot?,Yes,No,,,26934,O,,descriptive,2,22
q123,Would you strongly prefer to go out with someone of your own skin color / racial background?,Yes,No,,,53312,O,,preference,4,23
q114,"Is it okay to live with someone you're dating, even before you're engaged or married?",Yes,No,,,30969,O,,sex/intimacy; opinion,4,24
q106,Have you ever been married?,Yes,No,,,28994,O,,descriptive,4,25
q105,Do you have a child or children?,Yes,No,,,31097,O,,descriptive,5,26
q91,"Honestly, which do you do more of?",Watch television,Read,,,23830,N,,descriptive,2,27
q87,Is smoking disgusting?,Yes,No,,,47244,O,,opinion,3,28
q86,Do you own a gun?,Yes,No,,,25688,O,,descriptive,4,29
q38230,Would you really like to stay home and spend an entire day (24 hours) in bed (getting up only for the necessities) with your ideal significant other?,Yes.,No.,,,23810,O,,preference,2,30
q359387,"Do you believe morality is universal, or relative?",Universal,Relative,,,34021,N,,opinion,4,31
q358080,What is the most exciting thing about getting to know someone new?,Discovering your shared interests,Discovering their body,,,48981,N,,opinion,1,32
q357,Which makes for a better first date?,Coffee and chit-chat,Drinks and groping,,,26341,N,,sex/intimacy; preference; opinion,2,33
q34094,Do you believe a couple should live together before considering marriage?,Yes,No,,,29905,O,,opinion,3,34
q34,Are you more horny or more lonely?,Horny,Lonely,,,23592,N,,sex/intimacy,2,35
q30903,"If you're in a relationship you expect will last for the rest of your life, is it important to you that it be the most satisfying sexual relationship you have ever had?",Yes,No,,,28849,O,,sex/intimacy,2,36
q307,Do you like wild parties?,Yes,No,,,27957,O,,preference,1,37
q301,Are you annoyed by people who are super logical?,Yes,No,,,35878,O,,preference,2,38
q275,Are you a virgin?,Yes,No,,,29250,O,,sex/intimacy; descriptive,2,39
q226,Which would you rather lose?,the right to bear arms,the right to vote,,,30519,N,,politics; preference,3,40
q219,Gay marraige: should it be legal?,Yes,No,,,33413,O,,religion/superstition,4,41
q213,Are some human lives worth more than others?,Yes,No,,,28215,O,,politics; opinion,4,42
q210,Do you believe in God?,Yes,No,,,35015,O,,religion/superstition,5,43
q209,Will you teach your children to believe in Santa?,Yes,No,,,26138,O,,religion/superstition,2,44
q193,Do you say grace before meals?,Yes,No,,,23814,O,,religion/superstition,4,45
q186,"If you got married, would you change your name?",Yes,No,,,24230,O,,preference; descriptive,3,46
q185,Are you really into Anime (Japanese Animation) movies?,Yes,No,,,23792,O,,descriptive,2,47
q175,Should burning your country's flag be illegal?,Yes,No,,,45720,O,,politics,4,48
q392,"If someone you barely knew asked you how many people you'd had sex with, would you answer?",Yes,No,,,24741,O,,sex/intimacy,3,49
q388,Is it easier to love or to hate?,Love,Hate,,,25471,O,,opinion,2,50
q382,Is long hair on a guy inappropriate?,Yes,No,,,25262,O,,opinion,2,51
q358,Do you know the first name of every person you've ever made out with?,Yes,No,,,24303,O,,sex/intimacy,2,52
q354,Would you be comfortable being poor for the rest of your life?,Yes,No,,,26061,O,,preference; opinion,3,53
q341,"Regardless of whether or not you smoke marijuana, do you think it should be legalized for adults?",Yes,No,,,32473,O,,politics,3,54
q335,Do you (or would you) like to go hunting?,Yes,No,,,25464,O,,preference; descriptive,3,55
q334,Do you usually wear cologne or perfume?,Yes,No,,,23846,O,,descriptive,1,56
q325,"Would you consider having an open relationship (i.e., one where you can see other people)?",Yes,No,,,54443,O,,sex/intimacy; preference,2,57
q324,Orgasms are clearly the most important part of sex.,I agree.,I disagree.,,,34643,O,,sex/intimacy; opinion,1,58
